timestamp,open,high,low,close,vol,holdingvol,ZTM:MACD,ZTM:RSI,ZTM:ma5,ZTM:ma7,ZTM:ma10,ZTM:ma21,lastclose,label
1271412900,3465.30,3466.6,3464,3465.7,463,3153,-6.37,26.42,3467.6,3468.6,3468.33,3473.45,3465.3,1
1271413080,3465.60,3466.1,3461.8,3462.5,892,3279,-6.49,24.46,3466.04,3467.23,3467.94,3471.77,3465.7,-1
1271413260,3462.50,3463.6,3461.8,3463,467,3335,-6.46,25.39,3464.8,3466.21,3467.33,3470.73,3462.5,1
1271413440,3463.20,3463.2,3452.5,3453.1,1295,3422,-7.16,20.1,3461.92,3463.76,3465.88,3469.35,3463,-1
1271413620,3453.30,3455.2,3451.9,3454,1058,3574,-7.55,21.7,3459.66,3461.59,3464.07,3468.26,3453.1,1
1271413800,3453.70,3456.1,3453.7,3454.7,552,3550,-7.72,22.99,3457.46,3459.76,3462.53,3467.29,3454,1
1271413980,3454.60,3455,3450.9,3453.7,603,3588,-7.84,22.42,3455.7,3458.1,3460.87,3465.87,3454.7,-1
1271414160,3453.70,3454.5,3451.1,3454.4,691,3655,-7.79,23.84,3453.98,3456.49,3459.39,3464.82,3453.7,1
1271414340,3454.50,3457,3453.7,3456.8,763,3592,-7.47,28.66,3454.72,3455.67,3458.32,3464.08,3454.4,1
1271414520,3456.80,3457.4,3454.9,3455.3,542,3579,-7.25,27.49,3454.98,3454.57,3457.32,3463.4,3456.8,-1
1271414700,3455.30,3455.8,3453.9,3454.6,391,3610,-7.06,26.93,3454.96,3454.79,3456.21,3462.57,3455.3,-1
1271414880,3454.60,3454.7,3453.4,3454.5,399,3632,-6.83,26.85,3455.12,3454.86,3455.41,3461.9,3454.6,-1
1271415060,3454.50,3455.2,3453.5,3454.2,354,3723,-6.6,26.59,3455.08,3454.79,3454.53,3461.32,3454.5,-1
1271415240,3454.20,3454.6,3453.1,3453.9,578,3826,-6.37,26.31,3454.5,3454.81,3454.61,3460.6,3454.2,-1
1271415420,3453.90,3454.9,3453.3,3454.7,377,3868,-6.05,28.47,3454.38,3454.86,3454.68,3459.98,3453.9,1
1271415600,3454.70,3455.4,3454.2,3454.5,523,3855,-5.75,28.24,3454.36,3454.53,3454.66,3459.14,3454.7,-1
1271415780,3454.60,3455,3453.5,3453.5,281,3852,-5.53,27.1,3454.16,3454.27,3454.64,3458.35,3454.5,-1
1271415960,3453.50,3454.4,3452.7,3453.5,430,3809,-5.29,27.1,3454.02,3454.11,3454.55,3457.55,3453.5,0
1271416140,3453.70,3454.5,3453.4,3453.9,232,3778,-5.01,28.44,3454.02,3454.03,3454.26,3456.82,3453.5,1
1271416320,3453.90,3455.2,3453.7,3455.2,242,3781,-4.63,32.78,3454.12,3454.17,3454.25,3456.24,3453.9,1
1271416500,3455.20,3457.1,3454.7,3455.1,660,3845,-4.29,32.61,3454.24,3454.34,3454.3,3455.75,3455.2,-1
1271416680,3454.90,3455.6,3454.4,3454.5,263,3922,-4.02,31.59,3454.44,3454.31,3454.3,3455.22,3455.1,-1
1271416860,3454.70,3456,3453.7,3453.7,419,3911,-3.83,30.24,3454.48,3454.2,3454.25,3454.8,3454.5,-1
1271417040,3453.90,3455,3453.8,3454.8,350,3829,-3.55,34.41,3454.66,3454.39,3454.34,3454.41,3453.7,1
1271417220,3454.60,3455.1,3454.1,3454.3,261,3747,-3.32,33.43,3454.48,3454.5,3454.3,3454.47,3454.8,-1
1271422800,3454.30,3454.6,3453.2,3453.7,196,3766,-3.16,32.25,3454.2,3454.47,3454.22,3454.45,3454.3,-1
1271422980,3453.70,3453.7,3452.2,3452.6,314,3828,-3.08,30.14,3453.82,3454.1,3454.13,3454.35,3453.7,-1
1271423160,3452.50,3452.7,3451.2,3451.6,310,3852,-3.07,28.32,3453.4,3453.6,3453.94,3454.25,3452.6,-1
1271423340,3451.60,3452.2,3451.3,3451.4,303,3912,-3.04,27.96,3452.72,3453.16,3453.69,3454.11,3451.6,-1
1271423520,3451.40,3452.1,3450.9,3451.9,290,3912,-2.94,30.36,3452.24,3452.9,3453.36,3453.88,3451.4,1
1271423700,3452.00,3452,3451,3451.2,266,3937,-2.88,28.91,3451.74,3452.39,3452.97,3453.68,3451.9,-1
1271423880,3451.40,3451.7,3450.9,3450.9,261,3998,-2.83,28.28,3451.4,3451.9,3452.61,3453.5,3451.2,-1
1271424060,3450.90,3451.2,3450.2,3450.9,505,3955,-2.76,28.28,3451.26,3451.5,3452.33,3453.33,3450.9,0
1271424240,3450.90,3451,3449.3,3449.8,432,4001,-2.76,25.91,3450.94,3451.1,3451.83,3453.12,3450.9,-1
